series_id,model,mae,smape
M38166,lstm_none,8907.277825,198.131155
M36711,lstm_none,11485.777825,198.545198
M9619,lstm_none,531.333381,172.198244
M27889,lstm_none,2237.327825,192.721796
M2609,lstm_none,722.547825,178.911835
M8226,lstm_none,3691.333381,195.259785
M29564,lstm_none,1644.666714,190.277817
M33114,lstm_none,5796.529492,197.078449
M45890,lstm_none,1646.201909,190.275689
M12028,lstm_none,2780.788936,194.121786
M14578,lstm_none,5339.000047,196.861879
M18393,lstm_none,8191.333381,197.761837
M18394,lstm_none,4896.888936,196.384761
M32570,lstm_none,7286.355603,197.698729
M40879,lstm_none,3718.038936,195.579838
M19822,lstm_none,2452.444492,193.063219
M24670,lstm_none,2499.991961,193.360122
M36244,lstm_none,4141.888936,195.967313
M2442,lstm_none,1869.111159,191.396740
M12404,lstm_none,2684.666714,193.931145
M12754,lstm_none,2540.722270,193.598078
M29510,lstm_none,3505.777825,195.316126
M19100,lstm_none,2596.888936,193.346168
M36643,lstm_none,1533.555603,189.609447
M12712,lstm_none,1737.444492,190.739359
M19039,lstm_none,3241.333381,194.760510
M2183,lstm_none,2816.333381,194.193816
M38074,lstm_none,4119.111159,195.873213
M39011,lstm_none,926.333381,183.361877
M26405,lstm_none,2294.111159,192.933228
M23424,lstm_none,4137.261159,196.019838
M25000,lstm_none,3790.504779,195.644820
M38778,lstm_none,10013.555603,198.335932
M37249,lstm_none,3073.222270,194.644073
M36925,lstm_none,3028.555603,194.500893
M5735,lstm_none,10921.162324,198.470516
M20252,lstm_none,3624.666714,195.346783
M37370,lstm_none,927.661159,183.383544
M20820,lstm_none,1169.666714,185.852498
M25750,lstm_none,1100.136475,185.598764
M26657,lstm_none,944.666714,183.618090
M19928,lstm_none,4963.555603,196.643971
M11016,lstm_none,1755.222270,190.851248
M29269,lstm_none,1968.695047,191.784446
M22571,lstm_none,1980.777825,191.862779
M7746,lstm_none,8302.444492,197.931677
M22653,lstm_none,1437.111159,188.954127
M28137,lstm_none,9952.444492,198.317554
M14884,lstm_none,9578.678596,198.252651
M2955,lstm_none,10294.829492,198.377105
M36494,lstm_none,1645.222270,190.281157
M33390,lstm_none,1606.466714,187.566597
M9021,lstm_none,1996.888936,191.832370
M27093,lstm_none,10382.616714,198.394696
M23830,lstm_none,6091.512293,197.125889
M16180,lstm_none,12575.222270,198.669538
M40947,lstm_none,5202.677825,196.787356
M31013,lstm_none,4991.611159,196.677370
M24082,lstm_none,3350.604468,194.948201
M15401,lstm_none,3064.311303,194.591915
M32772,lstm_standard,686.991688,25.892012
M39513,lstm_standard,236.595968,14.871838
M43582,lstm_standard,391.877409,11.295352
M2976,lstm_standard,471.717075,4.272720
M3378,lstm_standard,62.533055,1.010947
M3793,lstm_standard,228.669391,6.057806
M34124,lstm_standard,414.299685,16.002156
M19848,lstm_standard,622.150542,28.615522
M10422,lstm_standard,41.432607,3.752286
M28534,lstm_standard,312.094226,3.134893
M35123,lstm_standard,343.747345,16.054732
M38965,lstm_standard,243.854382,2.442810
M4832,lstm_standard,376.207077,7.039105
M26546,lstm_standard,341.517054,6.110016
M26508,lstm_standard,33.174691,0.751004
M843,lstm_standard,11.520904,1.062223
M27135,lstm_standard,27.316967,2.170775
M24472,lstm_standard,705.286348,7.095476
M41399,lstm_standard,612.065069,9.028001
M6401,lstm_standard,1084.173409,8.760485
M8727,lstm_standard,116.275576,19.969396
M19175,lstm_standard,815.912447,13.909368
M34044,lstm_standard,983.768569,24.044823
M10601,lstm_standard,764.736287,19.130313
M22156,lstm_standard,158.354127,4.214641
M13817,lstm_standard,534.963271,17.730556
M20403,lstm_standard,539.441641,47.547406
M33554,lstm_standard,44.560821,6.852640
M17448,lstm_standard,333.329808,36.999975
M1705,lstm_standard,92.604091,3.366748
M24937,lstm_standard,264.810726,6.284990
M15412,lstm_standard,1251.507591,15.809882
M9114,lstm_standard,533.573777,26.298754
M41584,lstm_standard,932.242502,10.181507
M19528,lstm_standard,164.692911,12.374118
M31381,lstm_standard,491.261750,16.253460
M37217,lstm_standard,57.399947,5.394396
M5663,lstm_standard,593.493832,5.325758
M23337,lstm_standard,12.746697,0.763806
M15952,lstm_standard,612.019288,11.117930
M43622,lstm_standard,2489.384919,22.474337
M47799,lstm_standard,1589.491251,37.913451
M36823,lstm_standard,3237.237870,23.335283
M19842,lstm_standard,682.224322,26.072187
M3920,lstm_standard,229.632928,8.264571
M33760,lstm_standard,1431.700192,20.699955
M26741,lstm_standard,85.589047,1.116955
M11301,lstm_standard,49.445660,2.165932
