series_id,model,mae,smape
M39695,naive,83.333333,1.086623
M39695,seasonal_naive,450.000000,5.655877
M39695,auto_theta,89.899560,1.172189
M39695,auto_ets,83.889650,1.093850
M26684,naive,727.777778,13.189685
M26684,seasonal_naive,1088.888889,19.228045
M26684,auto_theta,715.810061,13.001100
M26684,auto_ets,727.777777,13.189685
M32983,naive,46.658333,4.236201
M32983,seasonal_naive,65.491667,6.212930
M32983,auto_theta,89.191789,8.207500
M32983,auto_ets,70.035787,6.357286
M34628,naive,2465.111111,35.888539
M34628,seasonal_naive,2417.777778,36.545986
M34628,auto_theta,2120.834092,29.942565
M34628,auto_ets,2599.042188,38.345808
M24410,naive,76.821721,1.915304
M24410,seasonal_naive,149.760569,3.671694
M24410,auto_theta,94.952155,2.357986
M24410,auto_ets,93.086242,2.312592
M10445,naive,48.722222,4.728950
M10445,seasonal_naive,46.444444,4.528969
M10445,auto_theta,54.374572,5.298239
M10445,auto_ets,48.722222,4.728950
M27785,naive,1142.555556,8.153759
M27785,seasonal_naive,1881.000000,13.951963
M27785,auto_theta,1163.504402,8.312187
M27785,auto_ets,1129.781801,8.068177
M16157,naive,324.444444,23.506250
M16157,seasonal_naive,353.272222,26.304595
M16157,auto_theta,323.172439,23.438114
M16157,auto_ets,321.235765,23.272806
M27832,naive,587.777778,18.418777
M27832,seasonal_naive,791.111111,23.305043
M27832,auto_theta,482.654423,15.439727
M27832,auto_ets,503.475983,16.366388
M45377,naive,268.120048,12.769524
M45377,seasonal_naive,355.396684,16.078469
M45377,auto_theta,382.032390,17.372592
M45377,auto_ets,278.403759,13.202647
M26001,naive,142.763722,2.932815
M26001,seasonal_naive,195.825488,3.980129
M26001,auto_theta,140.873084,2.893413
M26001,auto_ets,142.489252,2.927096
M40961,naive,4415.333333,30.371645
M40961,seasonal_naive,7233.538889,57.665350
M40961,auto_theta,4927.247048,34.845743
M40961,auto_ets,4774.599022,33.478710
M5,naive,59.444444,1.361870
M5,seasonal_naive,95.555556,2.169107
M5,auto_theta,58.962241,1.350838
M5,auto_ets,59.980368,1.374167
M6840,naive,1838.727778,25.546483
M6840,seasonal_naive,1033.044444,12.740519
M6840,auto_theta,983.401286,12.787374
M6840,auto_ets,1060.053543,13.765206
M36792,naive,96.952900,3.290747
M36792,seasonal_naive,247.433256,8.731081
M36792,auto_theta,78.756503,2.659411
M36792,auto_ets,45.114122,1.524144
M27368,naive,105.000000,0.528983
M27368,seasonal_naive,273.333333,1.387411
M27368,auto_theta,117.387633,0.591275
M27368,auto_ets,127.321515,0.641335
M11193,naive,50.000000,1.071576
M11193,seasonal_naive,46.666667,1.000044
M11193,auto_theta,43.700887,0.942115
M11193,auto_ets,46.550608,1.003680
M44275,naive,7.833333,4.482584
M44275,seasonal_naive,11.422222,6.434879
M44275,auto_theta,7.338113,4.392306
M44275,auto_ets,7.837491,4.484897
M27721,naive,5.888889,0.444670
M27721,seasonal_naive,9.000000,0.677817
M27721,auto_theta,19.306320,1.441803
M27721,auto_ets,5.888889,0.444670
M46313,naive,369.413111,5.942629
M46313,seasonal_naive,276.713611,4.363013
M46313,auto_theta,322.985489,5.186011
M46313,auto_ets,263.814437,4.213449
M40266,naive,2183.333333,24.195564
M40266,seasonal_naive,2172.222222,27.305328
M40266,auto_theta,1606.555331,18.417782
M40266,auto_ets,1552.478938,17.886343
M19269,naive,458.333333,31.887828
M19269,seasonal_naive,732.222222,45.057861
M19269,auto_theta,354.871327,25.947031
M19269,auto_ets,227.122962,17.027496
M39188,naive,40.694444,1.682283
M39188,seasonal_naive,207.905556,9.140108
M39188,auto_theta,60.883210,2.502907
M39188,auto_ets,85.163544,3.460386
M40717,naive,1066.047778,5.941890
M40717,seasonal_naive,1850.366111,10.613990
