series_id,model,mae,smape
M11193,catboost_standard,27.243622,0.583452
M44275,catboost_standard,15.172798,8.468215
M27721,catboost_standard,9.775466,0.734227
M46313,catboost_standard,276.198492,4.415926
M40266,catboost_standard,1410.106628,16.346462
M19269,catboost_standard,466.898590,32.306994
M39188,catboost_standard,74.078499,3.101545
M40717,catboost_standard,3185.516271,18.971572
M9061,catboost_standard,1799.444893,61.511214
M37631,catboost_standard,385.321937,3.786210
M14400,catboost_standard,1799.070840,13.045068
M43093,catboost_standard,40.089043,2.303310
M45915,catboost_standard,108.070190,6.109126
M10391,catboost_standard,281.151474,7.527773
M2477,catboost_standard,281.425897,5.038230
M41747,catboost_standard,536.480831,20.159634
M7569,catboost_standard,546.438602,27.820320
M45430,catboost_standard,357.931930,10.880966
M10158,catboost_standard,42.363481,2.407537
M24801,catboost_standard,39.722095,1.430993
M44781,catboost_standard,2580.683682,22.140395
M854,catboost_standard,208.827210,4.768625
M43251,catboost_standard,91.776411,8.758390
M12609,catboost_standard,92.893092,2.739955
M986,catboost_standard,29.616084,1.300201
M26132,catboost_standard,35.174194,2.457063
M39259,catboost_standard,477.769319,5.338805
M18286,catboost_standard,1030.717022,25.966635
M24589,catboost_standard,100.385757,2.992422
M2711,catboost_standard,640.804994,6.743679
M28213,catboost_standard,73.376435,0.744025
M25943,catboost_standard,1107.446034,7.797150
M40019,catboost_standard,1706.236746,27.002596
M31002,catboost_standard,1176.718952,26.700130
M27478,catboost_standard,46.982234,1.487017
M36609,catboost_standard,22.161780,1.571285
M10677,catboost_standard,223.685311,1.346797
M12734,catboost_standard,11.796462,0.913678
M25835,catboost_standard,192.407278,2.713940
M1423,catboost_standard,29.050697,1.111464
M14274,catboost_standard,303.702055,3.894927
M36159,catboost_standard,826.024592,12.724142
M30895,catboost_standard,637.460734,8.727420
M34094,catboost_standard,1369.114839,44.252610
M30170,catboost_standard,98.897700,2.535028
M21061,catboost_standard,135.415915,7.209846
M2864,catboost_standard,989.975137,7.725162
M47962,catboost_standard,794.330481,16.279993
M20089,catboost_standard,507.098621,22.551830
M15704,catboost_standard,262.358216,11.016829
M2800,catboost_standard,316.369816,9.106539
M17556,catboost_standard,639.052011,48.460293
M3169,catboost_standard,502.786569,4.053895
M8649,catboost_standard,651.043162,26.209016
M27326,catboost_standard,38.317115,2.417372
M31121,catboost_standard,262.323563,17.835183
M2433,catboost_standard,320.928360,5.766752
M41134,catboost_standard,641.788145,10.426118
M31081,catboost_standard,371.020474,9.541205
M7194,catboost_standard,874.449372,17.421693
M21216,catboost_standard,187.573862,7.229163
M6651,catboost_standard,1220.886967,15.826346
M8298,catboost_standard,1413.924671,48.255206
M24871,catboost_standard,57.923436,0.711495
M12267,catboost_standard,97.630239,0.949648
M21362,catboost_standard,226.645744,12.758603
M27551,catboost_standard,19.750911,1.761571
M5764,catboost_standard,111.358119,1.296107
M25201,catboost_standard,124.884982,2.119659
M29756,catboost_standard,342.854141,3.554990
M26654,catboost_standard,383.291902,20.541554
M38360,catboost_standard,80.761084,1.683006
M33017,catboost_standard,1944.812466,32.437777
M12430,catboost_standard,207.421120,6.312636
M33772,catboost_standard,1182.898373,10.780468
M6341,catboost_standard,228.159045,4.198813
M16502,catboost_standard,316.230607,7.099482
M32262,catboost_standard,3577.356418,48.788995
M45792,catboost_standard,262.198319,23.630285
M30603,catboost_standard,607.690232,6.351590
M5081,catboost_standard,204.487672,5.095438
M12529,catboost_standard,104.229119,2.716625
M2580,catboost_standard,52.649177,0.775128
M46344,catboost_standard,276.698650,5.069460
M31613,catboost_standard,106.303885,2.195830
M17610,catboost_standard,701.370857,21.031523
M39483,catboost_standard,122.575269,2.649470
M17963,catboost_standard,1002.275754,27.042466
M30283,catboost_standard,311.233990,14.035489
M12470,catboost_standard,48.438757,1.989045
M40800,catboost_standard,71.735007,4.768810
M13578,catboost_standard,489.738566,15.752073
